slug,target_money_page,current_primary_phrase,proposed_primary_phrase,meta_length,phrase_meta_overlap,needs_primary_phrase,needs_primary_repair,needs_meta_review
"are-medical-collections-on-credit-report","/best/best-credit-repair-companies/","","Are medical collections on credit report?",158,0.75,true,false,false
"are-merchant-cash-advances-predatory","/best/best-merchant-cash-advance/","","Are merchant cash advances predatory?",157,1,true,false,false
"are-there-business-loans-for-veterans","/best/best-small-business-loans/","","Are there business loans for veterans?",156,0.75,true,false,false
"are-there-small-business-loans-for-veterans","/best/best-sba-loans/","","Are there small business loans for veterans?",155,0.8,true,false,false
"can-i-cancel-credit-builder-loan","/best/best-credit-builder-loans/","","Can I cancel credit builder loan?",158,1,true,false,false
"can-i-cancel-moneylion-credit-builder-loan","/best/best-credit-builder-loans/","","Can I cancel moneylion credit builder loan?",152,1,true,false,false
"can-i-dispute-a-hard-credit-inquiry","/best/best-credit-repair-companies/","","Can I dispute a hard credit inquiry?",154,1,true,false,false
"can-i-dispute-collections-on-my-credit-report","/best/best-credit-repair-companies/","","Can I dispute collections on my credit report?",156,0.75,true,false,false
"can-i-dispute-credit-card-debt","/best/best-credit-repair-companies/","","Can I dispute credit card debt?",148,1,true,false,false
"can-i-dispute-credit-report","/best/best-credit-repair-companies/","","Can I dispute credit report?",143,1,true,false,false
"can-i-freeze-credit-karma","/best/best-credit-monitoring-services/","","Can I freeze credit karma?",157,1,true,false,false
"can-i-get-sba-loan-without-collateral","/best/best-sba-loans/","","Can I get SBA loan without collateral?",159,0.75,true,false,false
"can-i-get-a-sba-loan-to-start-a-business","/best/best-sba-loans/","","Can I get a SBA loan to start a business?",149,1,true,false,false
"can-i-get-a-credit-builder-loan","/best/best-credit-builder-loans/","","Can I get a credit builder loan?",152,1,true,false,false
"can-i-get-a-loan-if-i-m-self-employed","/best/best-personal-loan-lenders/","","Can I get a loan if I'm self employed?",149,0.33,true,false,false
"can-i-get-a-loan-to-start-my-business","/best/best-startup-business-loans/","","Can I get a loan to start my business?",145,1,true,false,false
"can-i-get-a-new-business-loan-with-bad-credit","/best/best-bad-credit-business-loans/","","Can I get a new business loan with bad credit?",157,0.6,true,false,false
"can-i-get-a-personal-loan-self-employed","/best/cheapest-personal-loans/","","Can I get a personal loan self employed?",150,0.5,true,false,false
"can-i-get-a-personal-loan-with-bad-credit-and-a-cosigner","/best/cheapest-personal-loans/","","Can I get a personal loan with bad credit and a cosigner?",154,1,true,false,false
"can-i-get-a-personal-loan-with-bad-credit-from-my-bank","/best/cheapest-personal-loans/","","Can I get a personal loan with bad credit from my bank?",152,1,true,false,false
"can-i-get-a-small-business-loan-for-a-new-business","/best/best-small-business-loans/","","Can I get a small business loan for a new business?",157,0.75,true,false,false
"can-i-get-a-small-business-loan-with-a-600-credit-score","/best/best-bad-credit-business-loans/","","Can I get a small business loan with a 600 credit score?",152,0.83,true,false,false
"can-i-get-a-small-business-loan-with-an-llc","/best/best-small-business-loans/","","Can I get a small business loan with an LLC?",153,1,true,false,false
"can-i-get-a-small-business-loan-with-no-credit","/best/best-sba-loans/","","Can I get a small business loan with no credit?",156,1,true,false,false
"can-i-get-a-startup-business-loan-with-bad-credit","/best/best-startup-business-loans/","","Can I get a startup business loan with bad credit?",152,1,true,false,false
"can-i-get-a-startup-business-loan-from-government","/best/best-startup-business-loans/","Can I get a startup business loan from government?","Can I get a startup business loan from government?",155,0.6,false,false,false
"can-i-get-a-startup-business-loan-with-a-500-credit-score","/best/best-bad-credit-business-loans/","","Can I get a startup business loan with a 500 credit score?",151,1,true,false,false
"can-i-get-hard-inquiry-removed","/best/best-credit-repair-companies/","","Can I get hard inquiry removed?",150,0.67,true,false,false
"can-i-get-personal-loan-without-cibil-score","/best/cheapest-personal-loans/","","Can I get personal loan without cibil score?",153,0.8,true,false,false
"can-i-get-small-business-loan-with-bad-credit","/best/best-small-business-loans/","","Can I get a small business loan with bad credit?",154,1,true,false,false
"can-i-have-multiple-credit-builder-loans","/best/best-credit-builder-loans/","","Can I have multiple credit builder loans?",153,1,true,false,false
"can-i-pay-collections-before-it-shows-on-credit-report","/best/best-credit-repair-companies/","","Can I pay collections before it shows on credit report?",144,0.83,true,false,false
"can-i-pay-off-debt-consolidation-loan-early","/best/best-debt-consolidation-loans/","","Can I pay off debt consolidation loan early?",159,1,true,false,false
"can-i-place-a-fraud-alert-on-credit-karma","/best/best-credit-monitoring-services/","","Can I place a fraud alert on credit karma?",155,1,true,false,false
"can-i-rebuild-credit-after-bankruptcy","/best/best-credit-builder-loans/","","Can I rebuild credit after bankruptcy?",155,1,true,false,false
"can-i-transfer-a-credit-card-balance-to-another-person","/best/best-secured-credit-cards/","","Can I transfer a credit card balance to another person?",158,0.67,true,false,false
"can-i-transfer-a-credit-card-balance-to-another","/best/best-secured-credit-cards/","","Can I transfer a credit card balance to another?",157,1,true,false,false
"can-i-transfer-a-credit-card-balance-to-personal-loan","/best/best-secured-credit-cards/","","Can I transfer a credit card balance to personal loan?",155,0.83,true,false,false
"can-i-use-personal-line-of-credit-for-business","/best/best-business-lines-of-credit/","","Can I use personal line of credit for business?",156,1,true,false,false
"can-a-credit-repair-company-remove-collections","/best/best-credit-repair-companies/","","Can a credit repair company remove collections?",146,0.8,true,false,false
"can-a-non-citizen-get-an-sba-loan","/best/best-small-business-loans/","","Can a non citizen get an SBA loan?",157,0.5,true,false,false
"can-an-llc-get-a-small-business-loan","/best/best-small-business-loans/","","Can an LLC get a small business loan?",146,1,true,false,false
"can-collections-go-on-credit-report","/best/best-credit-repair-companies/","","Can collections go on credit report?",156,0.67,true,false,false
"can-credit-repair-companies-charge-upfront","/best/best-credit-repair-companies/","","Can credit repair companies charge upfront?",157,1,true,false,false
"can-credit-repair-companies-really-fix-your-credit","/best/best-credit-repair-companies/","","Can credit repair companies really fix your credit?",158,0.8,true,false,false
"can-hard-inquiry-be-removed","/best/best-credit-repair-companies/","","Can hard inquiry be removed?",155,1,true,false,false
"can-you-buy-a-truck-with-a-business-loan","/best/best-small-business-loans/","","Can you buy a truck with a business loan?",140,1,true,false,false
"can-you-dispute-a-delinquent-credit-report","/best/best-credit-repair-companies/","","Can you dispute a delinquent credit report?",158,1,true,false,false
"can-you-dispute-address-on-credit-report","/best/best-credit-repair-companies/","","Can you dispute address on credit report?",152,1,true,false,false
"can-you-dispute-negative-items-on-your-credit-report","/best/best-credit-repair-companies/","","Can you dispute negative items on your credit report?",155,1,true,false,false
"can-you-freeze-credit-on-experian-app","/best/best-credit-monitoring-services/","","Can you freeze credit on experian app?",152,1,true,false,false
"can-you-freeze-credit-with-credit-karma","/best/best-credit-monitoring-services/","","Can you freeze credit with credit karma?",157,1,true,false,false
"can-you-get-a-equipment-loan-with-bad-credit","/best/best-equipment-financing/","","Can you get a equipment loan with bad credit?",159,1,true,false,false
"can-you-get-a-line-of-credit-to-start-a-business","/best/best-business-lines-of-credit/","","Can you get a line of credit to start a business?",142,1,true,false,false
"can-you-get-a-loan-with-620-credit-score","/best/best-personal-loan-lenders/","","Can you get a loan with 620 credit score?",152,1,true,false,false
"can-you-get-a-personal-loan-for-any-reason","/best/best-personal-loan-lenders/","","Can you get a personal loan for any reason?",155,0.5,true,false,false
"can-you-get-a-personal-loan-for-credit-card-debt","/best/best-personal-loan-lenders/","","Can you get a personal loan for credit card debt?",146,1,true,false,false
"can-you-get-a-personal-loan-without-a-credit-score","/best/best-personal-loan-lenders/","","Can you get a personal loan without a credit score?",158,0.8,true,false,false
"can-you-get-a-small-business-startup-loan-with-bad-credit","/best/best-startup-business-loans/","","Can you get a small business startup loan with bad credit?",155,0.83,true,false,false
"can-you-have-multiple-business-lines-of-credit","/best/best-business-lines-of-credit/","","Can you have multiple business lines of credit?",149,0.8,true,false,false
"can-you-lock-credit-karma","/best/best-credit-monitoring-services/","","Can you lock credit karma?",153,1,true,false,false
"can-you-refinance-an-equipment-loan","/best/best-equipment-financing/","","Can you refinance an equipment loan?",156,1,true,false,false
"can-you-remove-hard-inquiries-from-car-dealership","/best/best-credit-repair-companies/","","Can you remove hard inquiries from car dealership?",152,1,true,false,false
"can-you-remove-hard-inquiry","/best/best-credit-repair-companies/","","Can you remove hard inquiry?",154,1,true,false,false
"can-you-transfer-a-credit-card-balance-to-bank-account","/best/best-secured-credit-cards/","","Can you transfer a credit card balance to bank account?",154,1,true,false,false
"can-you-use-credit-cards-at-costco","/best/best-secured-credit-cards/","","Can you use credit cards at costco?",149,1,true,false,false
"do-credit-builder-loans-help","/best/best-credit-builder-loans/","","Do credit builder loans help?",159,1,true,false,false
"do-credit-repair-companies-actually-help","/best/best-credit-repair-companies/","","Do credit repair companies actually help?",152,0.6,true,false,false
"do-immigrants-get-free-business-loans","/best/best-bad-credit-business-loans/","","Do immigrants get free business loans?",151,1,true,false,false
"do-klarna-build-credit","/best/best-credit-builder-loans/","","Do klarna build credit?",158,1,true,false,false
"do-merchant-cash-advance-report-to-credit","/best/best-merchant-cash-advance/","","Do merchant cash advance report to credit?",145,0.8,true,false,false
"do-you-need-good-credit-for-an-sba-loan","/best/best-sba-loans/","","Do you need good credit for an SBA loan?",156,1,true,false,false
"does-afterpay-build-credit","/best/best-credit-builder-loans/","","Does afterpay build credit?",149,1,true,false,false
"does-bad-credit-score-affect-car-insurance","/best/best-credit-monitoring-services/","","Does bad credit score affect car insurance?",154,0.83,true,false,false
"does-credit-builder-loans-work","/best/best-credit-builder-loans/","","Does credit builder loans work?",153,1,true,false,false
"does-credit-history-affect-car-insurance","/best/best-credit-monitoring-services/","","Does credit history affect car insurance?",151,0.8,true,false,false
"does-credit-repair-cost-money","/best/best-credit-repair-companies/","","Does credit repair cost money?",156,1,true,false,false
"does-credit-score-affect-background-check","/best/best-credit-monitoring-services/","","Does credit score affect background check?",160,0.8,true,false,false
"does-credit-score-affect-checking-account","/best/best-credit-monitoring-services/","","Does credit score affect checking account?",158,1,true,false,false
"does-credit-score-affect-employment","/best/best-credit-monitoring-services/","","Does credit score affect employment?",155,0.5,true,false,false
"does-credit-score-affect-interest-rate","/best/best-credit-monitoring-services/","","Does credit score affect interest rate?",157,0.8,true,false,false
"does-credit-score-affect-opening-checking-account","/best/best-credit-monitoring-services/","","Does credit score affect opening checking account?",158,0.67,true,false,false
"does-credit-score-affect-visa-application","/best/best-credit-monitoring-services/","","Does credit score affect visa application?",150,0.8,true,false,false
"does-credit-score-increase-car-insurance","/best/best-credit-monitoring-services/","","Does credit score increase car insurance?",155,1,true,false,false
"can-you-transfer-a-credit-card-balance","/best/best-secured-credit-cards/","","Can you transfer a credit card balance?",153,1,true,false,false
